Date,Hour,Consumption,Datetime,is_religious_holiday,is_normal_holiday,is_special_day
15.01.2016,06:00,27845.52,15/01/2016 06:00,0,0,0
15.01.2016,07:00,29266.49,15/01/2016 07:00,0,0,0
15.01.2016,08:00,33637.71,15/01/2016 08:00,0,0,0
15.01.2016,09:00,36386.28,15/01/2016 09:00,0,0,0
15.01.2016,10:00,36970.5,15/01/2016 10:00,0,0,0
15.01.2016,11:00,37103.17,15/01/2016 11:00,0,0,0
15.01.2016,12:00,34121.26,15/01/2016 12:00,0,0,0
15.01.2016,13:00,35523.17,15/01/2016 13:00,0,0,0
15.01.2016,14:00,35717.39,15/01/2016 14:00,0,0,0
15.01.2016,15:00,35343.51,15/01/2016 15:00,0,0,0
15.01.2016,16:00,36473.19,15/01/2016 16:00,0,0,0
15.01.2016,17:00,37425.77,15/01/2016 17:00,0,0,0
15.01.2016,18:00,36019.98,15/01/2016 18:00,0,0,0
15.01.2016,19:00,34574.97,15/01/2016 19:00,0,0,0
15.01.2016,20:00,33756.4,15/01/2016 20:00,0,0,0
15.01.2016,21:00,33140.33,15/01/2016 21:00,0,0,0
15.01.2016,22:00,33272.46,15/01/2016 22:00,0,0,0
15.01.2016,23:00,31803.26,15/01/2016 23:00,0,0,0
16.01.2016,00:00,29790.9,16/01/2016 00:00,0,0,0
16.01.2016,01:00,28108.68,16/01/2016 01:00,0,0,0
16.01.2016,02:00,26867.16,16/01/2016 02:00,0,0,0
16.01.2016,03:00,26241.31,16/01/2016 03:00,0,0,0
16.01.2016,04:00,25928.6,16/01/2016 04:00,0,0,0
16.01.2016,05:00,26137.31,16/01/2016 05:00,0,0,0
16.01.2016,06:00,26617.72,16/01/2016 06:00,0,0,0
16.01.2016,07:00,27115.23,16/01/2016 07:00,0,0,0
16.01.2016,08:00,30856.87,16/01/2016 08:00,0,0,0
16.01.2016,09:00,33419.96,16/01/2016 09:00,0,0,0
16.01.2016,10:00,34766.44,16/01/2016 10:00,0,0,0
16.01.2016,11:00,35336.99,16/01/2016 11:00,0,0,0
16.01.2016,12:00,34062.01,16/01/2016 12:00,0,0,0
16.01.2016,13:00,33973.61,16/01/2016 13:00,0,0,0
16.01.2016,14:00,33592.64,16/01/2016 14:00,0,0,0
16.01.2016,15:00,33087.78,16/01/2016 15:00,0,0,0
16.01.2016,16:00,33693.47,16/01/2016 16:00,0,0,0
16.01.2016,17:00,34599.67,16/01/2016 17:00,0,0,0
16.01.2016,18:00,33773.4,16/01/2016 18:00,0,0,0
16.01.2016,19:00,32770.63,16/01/2016 19:00,0,0,0
16.01.2016,20:00,32167.64,16/01/2016 20:00,0,0,0
16.01.2016,21:00,31414.53,16/01/2016 21:00,0,0,0
16.01.2016,22:00,31666.2,16/01/2016 22:00,0,0,0
16.01.2016,23:00,30292.67,16/01/2016 23:00,0,0,0
17.01.2016,00:00,28125.56,17/01/2016 00:00,0,0,0
17.01.2016,01:00,26344.08,17/01/2016 01:00,0,0,0
17.01.2016,02:00,25233.2,17/01/2016 02:00,0,0,0
17.01.2016,03:00,24526.4,17/01/2016 03:00,0,0,0
17.01.2016,04:00,24131.34,17/01/2016 04:00,0,0,0
17.01.2016,05:00,24277.13,17/01/2016 05:00,0,0,0
17.01.2016,06:00,24149.15,17/01/2016 06:00,0,0,0
17.01.2016,07:00,23448.7,17/01/2016 07:00,0,0,0
17.01.2016,08:00,24484.28,17/01/2016 08:00,0,0,0
